"Global X Artificial Intelligence & Technology ETF",,,,
"Fund Holdings Data as of 09/25/2020",,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
0.661,CRWD,"CROWDSTRIKE HO-A",BJJP138,136.39,"4,356.00","594,114.84"
0.634,TTD,"TRADE DESK INC-A",BD8FDD1,473.17,"1,204.00","569,696.68"
0.606,FTNT,"FORTINET INC",B5B2106,116.81,"4,661.00","544,451.41"
0.436,ZBRA,"ZEBRA TECH CORP",2989356,257.46,"1,523.00","392,111.58"
0.422,HUBS,"HUBSPOT INC",BR4T3B3,294.03,"1,289.00","379,004.67"
0.411,WIX,"WIX.COM LTD",BFZCHN7,248.25,"1,488.00","369,396.00"
0.397,STX,"SEAGATE TECHNOLOGY",B58JVZ5,48.22,"7,393.00","356,490.46"
0.396,NLOK,"NORTONLIFELOCK INC",BJN4XN5,20.90,"17,023.00","355,780.70"
0.395,PLAN,"ANAPLAN INC",BD9PLW5,61.66,"5,762.00","355,284.92"
0.394,FICO,"FAIR ISAAC CORP",2330299,420.20,843.00,"354,228.60"
0.386,"6502 JP","TOSHIBA CORP",6897217,26.41,"13,150.00","347,297.43"
0.375,HPE,"HEWLETT PACKA",BYVYWS0,9.11,"37,027.00","337,315.97"
0.372,ZEN,"ZENDESK INC",BMH0MR7,99.37,"3,369.00","334,777.53"
0.370,LPSN,"LIVEPERSON INC",2577052,51.04,"6,512.00","332,372.48"
0.364,"OTEX CN","OPEN TEXT CORP",2260824,41.86,"7,820.00","327,381.39"
0.356,NUAN,"NUANCE COMMUNICATIONS INC",2402121,33.14,"9,653.00","319,900.42"
0.352,STNE,"STONECO LTD-A",BGKG6M3,53.13,"5,962.00","316,761.06"
0.336,"CCC LN","COMPUTACENTER PLC",BV9FP30,29.63,"10,193.00","301,987.96"
0.326,PEGA,"PEGASYSTEMS INC",2675860,118.86,"2,465.00","292,989.90"
0.320,TDC,"TERADATA CORP",B247H10,23.00,"12,508.00","287,684.00"
0.318,"XRO AU","XERO LTD",B8P4LP4,68.50,"4,172.00","285,791.12"
0.313,PTC,"PTC INC",B95N910,81.68,"3,444.00","281,305.92"
0.312,AMBA,"AMBARELLA INC",B7KH3G6,49.61,"5,660.00","280,792.60"
0.312,TME,"TENCENT MUSI-ADR",BFZYWR2,14.50,"19,321.00","280,154.50"
0.304,VRNT,"VERINT SYSTEMS INC",2849193,46.96,"5,823.00","273,448.08"
0.298,NTAP,"NETAPP INC",2630643,41.96,"6,381.00","267,746.76"
0.293,"SOW GR","SOFTWARE AG",BF06WX9,48.31,"5,455.00","263,540.65"
0.287,BB,"BLACKBERRY LTD",BCBHZ42,4.77,"54,053.00","257,832.81"
0.284,ENV,"ENVESTNET INC",B474ZK7,76.73,"3,327.00","255,280.71"
0.281,G,"GENPACT LTD",B23DBK6,38.14,"6,622.00","252,563.08"
0.274,LSCC,"LATTICE SEMICOND",2506658,28.07,"8,770.00","246,130.05"
0.271,FEYE,"FIREEYE INC",BD4R405,12.68,"19,199.00","243,443.32"
0.270,CSOD,"CORNERSTONE ONDEMAND INC",B404719,34.48,"7,039.00","242,704.72"
0.267,CLDR,"CLOUDERA INC",BYQHPY1,10.79,"22,203.00","239,570.37"
0.265,DXC,"DXC TECHNOLOGY CO",BYXD7B3,16.32,"14,615.00","238,516.80"
0.261,NLSN,"NIELSEN HOLDINGS PLC",BWFY550,13.87,"16,904.00","234,458.48"
0.257,"2344 TT","WINBOND ELECTRONICS CORP",6966515,0.42,"549,600.00","230,932.29"
0.256,"2337 TT","MACRONIX INTERNATIONAL",6574101,1.00,"231,000.00","230,175.96"
0.242,JNPR,"JUNIPER NETWORKS INC",2431846,21.39,"10,177.00","217,686.03"
0.236,YELP,"YELP INC",B7KCD72,19.75,"10,752.00","212,352.00"
0.235,"8299 TT","PHISON ELECTRONICS CORP",6728469,9.11,"23,190.00","211,186.97"
0.235,PSTG,"PURE STORAGE-A",BYZ62T3,14.82,"14,236.00","210,977.52"
0.229,PRO,"PROS HOLDINGS INC",B1YWQK0,31.95,"6,430.00","205,438.50"
0.168,,CASH,,1.00,"151,243.81","150,770.99"
0.000,"ENR GR","SIEMENS ENERGY AG NPV",BMTVQK9,0.00,"9,697.50",0.00
